"Gene"	"Freq"
"ACIN1"	2
"ACLY"	2
"ACMSD"	2
"ACN9"	2
"ACO1"	2
"ACOT11"	2
"ACOT12"	2
"ACOT2"	2
"ACOT4"	2
"ACOT7"	2
"ACOT8"	2
"ACOX1"	2
"ACOX2"	2
"ACOX3"	2
"ACOXL"	2
"ACP5"	2
"ACP6"	2
"ACPL2"	2
"ACPT"	2
"ACR"	2
"ACRBP"	2
"ACRV1"	2
"ACSBG1"	2
"ACSL1"	2
"ACSL3"	2
"ACSL4"	2
"ACSL5"	2
"ACSL6"	2
"ACSM1"	2
"ACSM3"	2
"ACSS2"	2
"ACTA1"	2
"ACTA2"	2
"ACTB"	2
"ACTC"	2
"ACTG1"	2
"ACTL6A"	2
"ACTL6B"	2
"ACTL7A"	2
"ACTL7B"	2
"ACTL8"	2
"ACTN1"	2
"ACTN2"	2
"ACTN3"	2
"ACTN4"	2
"ACTR1A"	2
"ACTR1B"	2
"ACTR2"	2
"ACTR3"	2
"ACTR3B"	2
"ACTR5"	2
"ACTR6"	2
"ACTRT1"	2
"ACVR1"	2
"ACVR1B"	2
"ACVR1C"	2
"ACVR2A"	2
"ACVRL1"	2
"ACY1"	2
"ACY3"	2
"ACYP1"	2
"ACYP2"	2
"ADA"	2
"ADAM10"	2
"ADAM11"	2
"ADAM12"	2
"ADAM15"	2
"ADAM17"	2
"ADAM19"	2
"ADAM2"	2
"ADAM21"	2
"ADAM22"	2
"ADAM23"	2
"ADAM29"	2
"ADAM30"	2
"ADAM33"	2
"ADAM7"	2
"ADAMDEC1"	2
"ADAMTS1"	2
"ADAMTS10"	2
"ADAMTS13"	2
"ADAMTS14"	2
"ADAMTS15"	2
"ADAMTS17"	2
"ADAMTS18"	2
"ADAMTS19"	2
"ADAMTS2"	2
"ADAMTS3"	2
"ADAMTS5"	2
"ADAMTS6"	2
"ADAMTS8"	2
"ADAMTS9"	2
"ADAMTSL1"	2
"ADAMTSL2"	2
"ADAMTSL5"	2
"ADARB1"	2
"ADARB2"	2
"ADAT1"	2
"ADCK1"	2
"ADCK4"	2
"ADCY1"	2
"ADCY2"	2
"ADCY3"	2
"ADCY4"	2
"ADCY5"	2
"ADCY6"	2
"ADCY7"	2
"ADCY9"	2
"ADD1"	2
"ADD2"	2
"ADFP"	2
"ADH1A"	2
"ADH5"	2
"ADHFE1"	2
"ADI1"	2
"ADIPOQ"	2
"ADIPOR1"	2
"ADK"	2
"ADM"	2
"ADMR"	2
"ADNP"	2
"ADORA1"	2
"ADORA2A"	2
"ADORA2B"	2
"ADORA3"	2
"ADPN"	2
"ADPRH"	2
"ADPRHL1"	2
"ADPRHL2"	2
"ADRA1A"	2
"ADRA1B"	2
"ADRA1D"	2
"ADRA2A"	2
"ADRA2B"	2
"ADRA2C"	2
"ADRB1"	2
"ADRB2"	2
"ADRB3"	2
"ADRBK1"	2
"ADRBK2"	2
"ADRM1"	2
"ADSL"	2
"ADSSL1"	2
"AEBP1"	2
"AER61"	2
"AES"	2
"AFAP"	2
"AFAR3"	2
"AFF1"	2
"AFF2"	2
"AFF3"	2
"AFF4"	2
"AFTIPHILIN"	2
"AGA"	2
"AGBL2"	2
"AGC1"	2
"AGER"	2
"AGGF1"	2
"AGL"	2
"AGMAT"	2
"AGPAT1"	2
"AGPAT2"	2
"AGPAT3"	2
"AGPAT6"	2
"AGR2"	2
"AGRP"	2
"AGT"	2
"AGTR1"	2
"AGTRAP"	2
"AGTRL1"	2
"AGXT"	2
"AGXT2"	2
"AHCTF1"	2
"AHCY"	2
"AHCYL1"	2
"AHNAK"	2
"AHR"	2
"AHRR"	2
"AHSA2"	2
"AHSG"	2
"AIF1"	2
"AIFL"	2
"AIG1"	2
"AIM1"	2
"AIM2"	2
"AIP"	2
"AIPL1"	2
"AIRE"	2
"AJAP1"	2
"AK1"	2
"AK2"	2
"AK3"	2
"AK3L1"	2
"AK5"	2
"AK7"	2
"AKAP1"	2
"AKAP10"	2
"AKAP11"	2
"AKAP12"	2
"AKAP13"	2
"AKAP14"	2
"AKAP2"	2
"AKAP3"	2
"AKAP8"	2
"AKAP9"	2
"AKR1B1"	2
"AKR1B10"	2
"AKR1D1"	2
"AKR7A3"	2
"AKT1S1"	2
"AKT3"	2
"ALAD"	2
"ALAS1"	2
"ALAS2"	2
"ALCAM"	2
"ALDH18A1"	2
"ALDH1A2"	2
"ALDH1B1"	2
"ALDH1L1"	2
"ALDH2"	2
"ALDH3A1"	2
"ALDH3A2"	2
"ALDH3B1"	2
"ALDH3B2"	2
"ALDH4A1"	2
"ALDH5A1"	2
"ALDH9A1"	2
"ALDOB"	2
"ALDOC"	2
"ALG1"	2
"ALG12"	2
"ALG14"	2
"ALG3"	2
"ALG5"	2
"ALG8"	2
"ALKBH3"	2
"ALKBH4"	2
"ALKBH6"	2
"ALKBH7"	2
"ALKBH8"	2
"ALOX12"	2
"ALOX12B"	2
"ALOX15"	2
"ALOX15B"	2
"ALOXE3"	2
"ALPK1"	2
"ALPL"	2
"ALPP"	2
"ALPPL2"	2
"ALS2CR11"	2
"ALS2CR15"	2
"ALS2CR2"	2
"ALS2CR7"	2
"ALX3"	2
"AMACR"	2
"AMBP"	2
"AMD1"	2
"AMDHD1"	2
"AMDHD2"	2
"AMHR2"	2
"AMICA1"	2
"AMID"	2
"AMIGO2"	2
"AMMECR1"	2
"AMN"	2
"AMOT"	2
"AMOTL2"	2
"AMPD1"	2
"AMPD2"	2
"AMPD3"	2
"AMPH"	2
"AMT"	2
"AMY1A"	2
"AMY2A"	2
"AMY2B"	2
"AMZ2"	2
"ANAPC1"	2
"ANAPC11"	2
"ANAPC13"	2
"ANAPC4"	2
"ANAPC5"	2
"ANG"	2
"ANGEL2"	2
"ANGPT1"	2
"ANGPT4"	2
"ANGPTL2"	2
"ANGPTL3"	2
"ANGPTL4"	2
"ANGPTL6"	2
